"article_cond","SID","item","n","comment"
"self","s314","1",8,"Am I going to have to supervise this???"
"self","s314","2",8,"This is how I can make a difference!"
"self","s314","3",6,"I want to get more active!"
"self","s314","4",8,"I want to learn more about this disease!"
"self","s315","10",NA,NA
"self","s315","11",NA,NA
"self","s315","12",NA,NA
"self","s315","9",NA,NA
"self","s316","10",NA,NA
"self","s316","11",NA,NA
"self","s316","12",NA,NA
"self","s316","9",NA,NA
"self","s317","5",44,"I have a physical disability that makes exercise very difficult, so any exercise I can achieve would be low impact things like swimming an cycling. Thus, I want to know more about this topic so I can try to plan around the negative effects."
"self","s317","6",22,"I want the world to not be heavily polluted, so I definitely don't like that there is so much more plastic waste."
"self","s317","7",22,"I don't want to get cancer, and I want to help prevent loved ones from getting cancer by sharing knowledge with them."
"self","s317","8",22,"I want recycling to go to where it's supposed to, and would be upset if it was being thrown into landfills instead."
"self","s318","5",17,"This article matters to me personally because I currenty have a sand grain sized kidney stone developing."
"self","s318","6",20,"This article matters to me because I love to exercise, and I want to most health benefits I can get."
"self","s318","7",14,"It matters to me because I learned something new about ways to stay sharp."
"self","s318","8",16,"It matter to me because it shows that people are starting to take climate change seriously."
"self","s319","5",NA,NA
"self","s319","6",NA,NA
"self","s319","7",NA,NA
"self","s319","8",NA,NA
"self","s320","10",NA,NA
"self","s320","11",NA,NA
"self","s320","12",NA,NA
"self","s320","9",NA,NA
"self","s321","5",9,"I have a soda problem. It's my last vice."
"self","s321","6",15,"I suppose it matters that doing healthy things promotes health, go figure, how jaw dropping"
"self","s321","7",38,"I support all of these things but our government is not functioning well enough to get this type of legislation passed in any meaningful way. The very idea of climate bipartisanship at this point in time is laughable."
"self","s321","8",16,"Dementia is deeply sad for the people closest to the sufferer and frightening for the sufferer"
"self","s322","1",NA,NA
"self","s322","2",NA,NA
"self","s322","3",NA,NA
"self","s322","4",NA,NA
"self","s323","5",24,"This article matters to me personally because it talks about a plan that would help both consumers and mitigating climate change using electric cars"
"self","s323","6",18,"This article matters to me because of the effects of climate change and how it could start floods"
"self","s323","7",14,"This article matters to me because a family member of mine has breast cancer"
"self","s323","8",19,"This article matters to me because it showcases the risk of death in foods that we all commonly eat"
"self","s324","1",NA,NA
"self","s324","2",NA,NA
"self","s324","3",NA,NA
"self","s324","4",NA,NA
"self","s325","10",NA,NA
"self","s325","11",NA,NA
"self","s325","12",NA,NA
"self","s325","9",NA,NA
"self","s326","1",NA,NA
"self","s326","2",NA,NA
"self","s326","3",NA,NA
"self","s326","4",NA,NA
"self","s327","1",NA,NA
"self","s327","2",NA,NA
"self","s327","3",NA,NA
"self","s327","4",NA,NA
"self","s328","5",NA,NA
"self","s328","6",NA,NA
"self","s328","7",NA,NA
"self","s328","8",NA,NA
"self","s329","5",NA,NA
"self","s329","6",NA,NA
"self","s329","7",NA,NA
"self","s329","8",NA,NA
"self","s330","10",NA,NA
"self","s330","11",NA,NA
"self","s330","12",NA,NA
"self","s330","9",NA,NA
"self","s331","10",NA,NA
"self","s331","11",NA,NA
"self","s331","12",NA,NA
"self","s331","9",NA,NA
"self","s332","5",39,"Global warming is impacting everyday life.  As days get hotter, I am more likely to have to run either early in the morning or late at night.  It restricts how I live my life and the way I exercise."
"self","s332","6",37,"While there are drawbacks to nuclear power, using that type of energy can reduce dependence of dirty coal and its large carbon footprint.  Who wouldn't want cleaner and cheaper energy (I know my wallet would appreciate it)?"
"self","s332","7",40,"Solar power is growing but not at a rate that will help me in the short term.  Investing in solar power may be a wise move in the future (buy stock in those companies while the stock is still cheap)."
"self","s332","8",33,"As a Democrat, I look to support issues backed by my political party.  I want to be on the right side of this debate and be as knowledgeable as possible on this issue."
"self","s333","1",NA,NA
"self","s333","2",NA,NA
"self","s333","3",NA,NA
"self","s333","4",NA,NA
"self","s334","5",NA,NA
"self","s334","6",NA,NA
"self","s334","7",NA,NA
"self","s334","8",NA,NA
"self","s335","1",NA,NA
"self","s335","2",NA,NA
"self","s335","3",NA,NA
"self","s335","4",NA,NA
"self","s336","5",NA,NA
"self","s336","6",NA,NA
"self","s336","7",NA,NA
"self","s336","8",NA,NA
"self","s337","5",NA,NA
"self","s337","6",NA,NA
"self","s337","7",NA,NA
"self","s337","8",NA,NA
"self","s338","5",NA,NA
"self","s338","6",NA,NA
"self","s338","7",NA,NA
"self","s338","8",NA,NA
"self","s339","1",NA,NA
"self","s339","2",NA,NA
"self","s339","3",NA,NA
"self","s339","4",NA,NA
"self","s340","10",NA,NA
"self","s340","11",NA,NA
"self","s340","12",NA,NA
"self","s340","9",NA,NA
"self","s341","5",NA,NA
"self","s341","6",NA,NA
"self","s341","7",NA,NA
"self","s341","8",NA,NA
"self","s342","1",10,"I love animals so this makes me feel so sad."
"self","s342","2",20,"This matters to me personally because I work with older folks who sometimes use CBD as a personal pain treatment."
"self","s342","3",15,"This matters to me personally because I participated in a climate strike in grad school."
"self","s342","4",15,"This matters to me because I am trying to involve exercise in my daily life."
"self","s343","5",9,"It doesn't matter to me: I'm not a runner"
"self","s343","6",6,"I want to lower my risk"
"self","s343","7",12,"as fire danger increases, my risk of damage to my property increases"
"self","s343","8",7,"My grandchildren may not be exercising enough"
"self","s344","1",NA,NA
"self","s344","2",NA,NA
"self","s344","3",NA,NA
"self","s344","4",NA,NA
"self","s345","1",NA,NA
"self","s345","2",NA,NA
"self","s345","3",NA,NA
"self","s345","4",NA,NA
"self","s346","10",7,"I am approaching midlife and fear dimentia"
"self","s346","11",6,"I care about reducing climate emmissions."
"self","s346","12",8,"I worry about the impacts of climate change."
"self","s346","9",7,"I care about my healyh and longevity."
"self","s347","5",NA,NA
"self","s347","6",NA,NA
"self","s347","7",NA,NA
"self","s347","8",NA,NA
"self","s348","5",NA,NA
"self","s348","6",NA,NA
"self","s348","7",NA,NA
"self","s348","8",NA,NA
"self","s349","5",NA,NA
"self","s349","6",NA,NA
"self","s349","7",NA,NA
"self","s349","8",NA,NA
"self","s350","5",NA,NA
"self","s350","6",NA,NA
"self","s350","7",NA,NA
"self","s350","8",NA,NA
"self","s351","5",14,"My father died of multiple myeloma so it matters to me a great deal."
"self","s351","6",10,"I fear for the globe and climate change with wildfires."
"self","s351","7",10,"I want to get in better shape and live longer."
"self","s351","8",10,"Climate Change if the biggest threat we face world wide."
"self","s352","1",NA,NA
"self","s352","2",NA,NA
"self","s352","3",NA,NA
"self","s352","4",NA,NA
"self","s353","1",NA,NA
"self","s353","2",NA,NA
"self","s353","3",NA,NA
"self","s353","4",NA,NA
"self","s354","5",29,"I'm not pregnant, I can't become pregnant, I'm not married, I'm not likely to be married, but I suppose the general health of society concerns me to an extent."
"self","s354","6",24,"It strikes me that even from the lede this is less about information than agenda, so I suppose it's relevant but I doubt useful."
"self","s354","7",15,"In this interconnected world, especially in times of shortage, energy generation everywhere has widespread effects."
"self","s354","8",20,"Hot-button issues have a lot of impact downstream where I am, these widespread consequences are quite relevant to me."
"self","s355","10",NA,NA
"self","s355","11",NA,NA
"self","s355","12",NA,NA
"self","s355","9",NA,NA
"self","s356","5",9,"I love animals, anything to protect them is vital."
"self","s356","6",10,"Trash with plastics is a huge problem for the environment."
"self","s356","7",13,"The more children have to do the better for society and their health."
"self","s356","8",12,"People should be healthy, I don't like seeing people in poor health."
"self","s357","10",NA,NA
"self","s357","11",NA,NA
"self","s357","12",NA,NA
"self","s357","9",NA,NA
"self","s358","5",NA,NA
"self","s358","6",NA,NA
"self","s358","7",NA,NA
"self","s358","8",NA,NA
"self","s359","1",NA,NA
"self","s359","2",NA,NA
"self","s359","3",NA,NA
"self","s359","4",NA,NA
"self","s360","10",NA,NA
"self","s360","11",NA,NA
"self","s360","12",NA,NA
"self","s360","9",NA,NA
"self","s361","5",NA,NA
"self","s361","6",NA,NA
"self","s361","7",NA,NA
"self","s361","8",NA,NA
"self","s362","1",NA,NA
"self","s362","2",NA,NA
"self","s362","3",NA,NA
"self","s362","4",NA,NA
"self","s363","10",NA,NA
"self","s363","11",NA,NA
"self","s363","12",NA,NA
"self","s363","9",NA,NA
"self","s364","10",12,"I want to know we are still thinking about the younger generation."
"self","s364","11",14,"I'm a smoker and need another guilt trip to keep me using my inhaler."
"self","s364","12",13,"The USA should be making more policy to back up it's infrastructure plan."
"self","s364","9",17,"I'm a recovering alcoholic and suicide survivor and like to learn how to take care of myself."
"self","s365","1",22,"I always thought it was your immune system that warded off colds, but this makes me look at things from another viewpoint."
"self","s365","2",9,"I like to cook, so this interests me personally."
"self","s365","3",22,"Climate change has been an issue for several years now, but we may finally be closer to taking it seriously. I hope."
"self","s365","4",14,"We are all guilty of making stupid assumptions about things we don't actually know"
"self","s366","5",NA,NA
"self","s366","6",NA,NA
"self","s366","7",NA,NA
"self","s366","8",NA,NA
"self","s367","1",14,"it's important to me because exercise is an integral part of my daily life"
"self","s367","2",12,"it matters to me because i actually need to reduce my weight"
"self","s367","3",7,"i feel recycling helps protect our environment."
"self","s367","4",12,"I would like to learn how banana works better than sports drinks"
"self","s368","10",NA,NA
"self","s368","11",NA,NA
"self","s368","12",NA,NA
"self","s368","9",NA,NA
"self","s369","10",NA,NA
"self","s369","11",NA,NA
"self","s369","12",NA,NA
"self","s369","9",NA,NA
"self","s370","10",9,"It gives extra reason for me to stay thin."
"self","s370","11",9,"It gives me extra reason not to use deodorant."
"self","s370","12",12,"It gives me extra reason to not care about gluten free foods."
"self","s370","9",11,"I live in California, so the risk of fire is concerning."
"self","s371","10",NA,NA
"self","s371","11",NA,NA
"self","s371","12",NA,NA
"self","s371","9",NA,NA
"self","s372","1",NA,NA
"self","s372","2",NA,NA
"self","s372","3",NA,NA
"self","s372","4",NA,NA
"self","s373","10",NA,NA
"self","s373","11",NA,NA
"self","s373","12",NA,NA
"self","s373","9",NA,NA
"self","s374","10",NA,NA
"self","s374","11",NA,NA
"self","s374","12",NA,NA
"self","s374","9",NA,NA
"self","s375","1",NA,NA
"self","s375","2",NA,NA
"self","s375","3",NA,NA
"self","s375","4",NA,NA
"self","s376","1",NA,NA
"self","s376","2",NA,NA
"self","s376","3",NA,NA
"self","s376","4",NA,NA
"self","s377","1",NA,NA
"self","s377","2",NA,NA
"self","s377","3",NA,NA
"self","s377","4",NA,NA
"self","s378","1",15,"I'm 52 years old and already slowing down, so this is something I'm already experiencing."
"self","s378","2",30,"I'm a user of the disposable cleaning tools, but I know it's not good for environmental concerns, so I would be open to learning alternatives (outside of the known ones.)"
"self","s378","3",23,"I know that climate change is a big issue and as an animal lover I hate seeing how the polar bears are suffering."
"self","s378","4",17,"I walk on a semi-regular basis for health, and I'm interested in societal differences like this."
"self","s379","1",NA,NA
"self","s379","2",NA,NA
"self","s379","3",NA,NA
"self","s379","4",NA,NA
"self","s380","5",NA,NA
"self","s380","6",NA,NA
"self","s380","7",NA,NA
"self","s380","8",NA,NA
"self","s381","10",22,"My daughter is slim, but we take an interest in her eating habits and health that I don't see all parents doing!"
"self","s381","11",22,"I'd look us to move away from fossil fuels because I'd like to leave a habitable earth for my daughter and grandchildren."
"self","s381","12",16,"I've got high blood pressure and will read anything related to heart health and possible illnesses."
"self","s381","9",17,"I'm worried about another heat wave because it costs so much money to air condition our home!"
"self","s382","10",NA,NA
"self","s382","11",NA,NA
"self","s382","12",NA,NA
"self","s382","9",NA,NA
"self","s383","5",NA,NA
"self","s383","6",NA,NA
"self","s383","7",NA,NA
"self","s383","8",NA,NA
"self","s384","10",NA,NA
"self","s384","11",NA,NA
"self","s384","12",NA,NA
"self","s384","9",NA,NA
"self","s385","5",NA,NA
"self","s385","6",NA,NA
"self","s385","7",NA,NA
"self","s385","8",NA,NA
"self","s386","10",18,"I have 3 daughters so if this article is true, they have a higher risk of breast cancer."
"self","s386","11",21,"I don't work so this doesn't personally effect me, but would be interested to see if the research may be right."
"self","s386","12",12,"I have heart problems, so this could be quite relevant for me."
"self","s386","9",16,"This article doesn't matter to me because I am in an area that doesn't have floods."
"self","s387","5",NA,NA
"self","s387","6",NA,NA
"self","s387","7",NA,NA
"self","s387","8",NA,NA
"self","s388","1",NA,NA
"self","s388","2",NA,NA
"self","s388","3",NA,NA
"self","s388","4",NA,NA
"self","s389","10",18,"Since I am a little overweight, I would like to know more about the dangers of sleep apnea."
"self","s389","11",19,"I would love to read this, since I am an avid walker who averages about 8 miles per day!"
"self","s389","12",22,"I would want to read this carefully to see in the data actually supports their assertions, or is a bait and switch."
"self","s389","9",13,"I would love to more about this study, because I love my gluten!"
"self","s390","1",NA,NA
"self","s390","2",NA,NA
"self","s390","3",NA,NA
"self","s390","4",NA,NA
"self","s391","5",NA,NA
"self","s391","6",NA,NA
"self","s391","7",NA,NA
"self","s391","8",NA,NA
"self","s392","1",NA,NA
"self","s392","2",NA,NA
"self","s392","3",NA,NA
"self","s392","4",NA,NA
"self","s393","5",NA,NA
"self","s393","6",NA,NA
"self","s393","7",NA,NA
"self","s393","8",NA,NA
"self","s394","5",NA,NA
"self","s394","6",NA,NA
"self","s394","7",NA,NA
"self","s394","8",NA,NA
"self","s395","1",NA,NA
"self","s395","2",NA,NA
"self","s395","3",NA,NA
"self","s395","4",NA,NA
"self","s396","1",19,"Luckily I already eat (relatively) low sodium and calcium-rich foods. Must be why I don't have kidney stones...."
"self","s396","2",10,"hope I never need to use this type of crowdsourcing..."
"self","s396","3",12,"Man, I love my chocolate. Oh well, still going to eat it!"
"self","s396","4",15,"Glad I'm not an autistic fucktard that loonies use and pretend to pay attention to."
"self","s397","5",NA,NA
"self","s397","6",NA,NA
"self","s397","7",NA,NA
"self","s397","8",NA,NA
"self","s398","10",NA,NA
"self","s398","11",NA,NA
"self","s398","12",NA,NA
"self","s398","9",NA,NA
"self","s399","10",NA,NA
"self","s399","11",NA,NA
"self","s399","12",NA,NA
"self","s399","9",NA,NA
"self","s400","5",NA,NA
"self","s400","6",NA,NA
"self","s400","7",NA,NA
"self","s400","8",NA,NA
"self","s401","10",NA,NA
"self","s401","11",NA,NA
"self","s401","12",NA,NA
"self","s401","9",NA,NA
"self","s402","1",9,"This might be a company I am invested in"
"self","s402","2",30,"As a human being, I am susceptible to colds and the flu, and I would like to know my odds of becoming sick due to my lifestyle and genetic makeup"
"self","s402","3",38,"It is very meaningful to me as a parent of four children, and as any parent of multiple children knows, there is very little one can do as a parent to significantly alter a child's personality and traits"
"self","s402","4",41,"I am a huge proponent of nuclear power as the only truly sustainable and reliable low-carbon source of power generation currently available, and I am also invested in shipping companies, so this article checks a lot of boxes for me"
"self","s403","5",NA,NA
"self","s403","6",NA,NA
"self","s403","7",NA,NA
"self","s403","8",NA,NA
"self","s404","1",NA,NA
"self","s404","2",NA,NA
"self","s404","3",NA,NA
"self","s404","4",NA,NA
"self","s405","5",21,"I personally am not for SUVS or bigger cars due to them not having good gas mileage, making travel more expensive."
"self","s405","6",25,"While it doesn't personally affect me as of now, it would be nice to travel to all these places if and before they are destroyed."
"self","s405","7",33,"I try not to drink sugary drinks. If I drink iced tea, I put my own sweetener in it and just add enough so it isn't bitter. Same with sweetened creamer in coffee."
"self","s405","8",20,"I have heard many health benefits from people who have gone on a temporary or permanent fast from surgery drinks."
"self","s406","5",NA,NA
"self","s406","6",NA,NA
"self","s406","7",NA,NA
"self","s406","8",NA,NA
"self","s407","10",NA,NA
"self","s407","11",NA,NA
"self","s407","12",NA,NA
"self","s407","9",NA,NA
"self","s408","10",NA,NA
"self","s408","11",NA,NA
"self","s408","12",NA,NA
"self","s408","9",NA,NA
"self","s409","5",NA,NA
"self","s409","6",NA,NA
"self","s409","7",NA,NA
"self","s409","8",NA,NA
"self","s410","1",NA,NA
"self","s410","2",NA,NA
"self","s410","3",NA,NA
"self","s410","4",NA,NA
"self","s411","10",NA,NA
"self","s411","11",NA,NA
"self","s411","12",NA,NA
"self","s411","9",NA,NA
"self","s412","10",NA,NA
"self","s412","11",NA,NA
"self","s412","12",NA,NA
"self","s412","9",NA,NA
"self","s413","1",NA,NA
"self","s413","2",NA,NA
"self","s413","3",NA,NA
"self","s413","4",NA,NA
"self","s414","5",NA,NA
"self","s414","6",NA,NA
"self","s414","7",NA,NA
"self","s414","8",NA,NA
"self","s415","10",10,"i am trying to lose weight and this might help"
"self","s415","11",9,"disappointing because we should be trying for renewable energy"
"self","s415","12",9,"i take supplements for health and this is concerning"
"self","s415","9",8,"interesting to know about ideas for better future"
"self","s416","1",NA,NA
"self","s416","2",NA,NA
"self","s416","3",NA,NA
"self","s416","4",NA,NA
"self","s417","10",10,"Weakening of Endangered Species Act may directly impact my livelihood."
"self","s417","11",4,"Exercise can make healthier."
"self","s417","12",14,"Quality and not quantity is what really matters as I seek to lose weight."
"self","s417","9",7,"Global warming may directly impact U.S. economy."
"self","s418","10",NA,NA
"self","s418","11",NA,NA
"self","s418","12",NA,NA
"self","s418","9",NA,NA
"self","s419","10",NA,NA
"self","s419","11",NA,NA
"self","s419","12",NA,NA
"self","s419","9",NA,NA
"self","s420","10",NA,NA
"self","s420","11",NA,NA
"self","s420","12",NA,NA
"self","s420","9",NA,NA
"self","s421","10",17,"I watch what I eat to stay healthy so this diet is one I won't be trying."
"self","s421","11",17,"I run 4 times a week as I am trying not move slower in my old age."
"self","s421","12",8,"I do try to diet with my wife."
"self","s421","9",9,"I don't use these products for these exact reasons"
"self","s422","1",NA,NA
"self","s422","2",NA,NA
"self","s422","3",NA,NA
"self","s422","4",NA,NA
"self","s423","10",20,"It's good to hear than drinking fewer sugary drinks can have an impact and it's something I need to do"
"self","s423","11",18,"I would tell my friends with new babies or grandbabies since this is something they should hear about"
"self","s423","12",25,"One of our cards is an SUV but I didn't think it was worse for the climate than alternatives.  We will reconsider our next vehicle."
"self","s423","9",15,"I know I should drink fewer sugary drinks and I need to be reminded sometimes"
"self","s424","10",NA,NA
"self","s424","11",NA,NA
"self","s424","12",NA,NA
"self","s424","9",NA,NA
"self","s425","1",NA,NA
"self","s425","2",NA,NA
"self","s425","3",NA,NA
"self","s425","4",NA,NA
"self","s426","10",NA,NA
"self","s426","11",NA,NA
"self","s426","12",NA,NA
"self","s426","9",NA,NA
"self","s427","10",32,"I am overweight and have type 2 diabetes. I am in the process of giving up all sugary drinks, so this article would just help bolster my willpower to continue the process."
"self","s427","11",35,"This article is relevant to me because I have 3 kids who will be impacted by climate change in their lifetimes. The change to SUVs is startling and will continue to greatly impact the climate."
"self","s427","12",34,"I have 3 kids, and while they're older now, they will likely have kids one day, so I'll be helping to raise my grandkids. This article might be helpful in raising them one day."
"self","s427","9",29,"This matters to me because I have 3 kids and while climate change isn't greatly impacting me, I'm certain that it will impact them (or my grandchildren some day)."
"self","s428","10",9,"It might help me get into high intensity training"
"self","s428","11",10,"Its important to unfettered how obesity could affect my life"
"self","s428","12",11,"Knowing how to exercise and diet properly would do me good"
"self","s428","9",13,"Because I have a hard time exercising and would like to know alternatives"
"self","s429","1",NA,NA
"self","s429","2",NA,NA
"self","s429","3",NA,NA
"self","s429","4",NA,NA
"self","s430","5",13,"I may live in a low lying area and be susceptible to floods."
"self","s430","6",13,"Wildfires a big threat in many areas. I don't wish disasters on people."
"self","s430","7",15,"Unhealthy children hurt us and make us weaker. Also we are setting them up poorly."
"self","s430","8",11,"Working from home could help me save on energy costs! Alright!"
"self","s431","5",20,"This article matters to me personally because this girl is angry and fearful, and I'd rather not live that way."
"self","s431","6",24,"This article matters to me personally because I'd like to see more data comparing avalanche trends in the past to current trends of avalanches."
"self","s431","7",15,"This article matters to me personally because I know people who have suffered from cancer."
"self","s431","8",14,"This article matters to me personally because using single-use plastics doesn't bother me."
"self","s432","1",NA,NA
"self","s432","2",NA,NA
"self","s432","3",NA,NA
"self","s432","4",NA,NA
"self","s433","10",6,"The government actually got something done."
"self","s433","11",7,"I like finding ways to stay healthy."
"self","s433","12",14,"Climate risk is a real danger and we need to act on it now."
"self","s433","9",6,"We should aim to protect wildlife."
"self","s434","5",21,"My mom is already at risk with a weak immune system, information on how to avoid breast cancer is very useul"
"self","s434","6",14,"I and many people I know are overweight and also live in the south/"
"self","s434","7",11,"I am motivated to prevent wildfires and learn more about them."
"self","s434","8",12,"I would like to buy an electric car but cannot afford one."
"self","s435","1",NA,NA
"self","s435","2",NA,NA
"self","s435","3",NA,NA
"self","s435","4",NA,NA
"self","s436","10",15,"I am part of this planet and it shows how global warming is effecting it."
"self","s436","11",18,"I am at this point in my life and it can help me to avoid future health issues."
"self","s436","12",14,"This talks about policies that could directly impact me, such as a carbon tax."
"self","s436","9",9,"It shows me why I should avoid sugary drinks."
"self","s437","5",44,"This article matters to me personally because I live in a state which has been experiencing severe drought as well as an increase in wildfires, so there is much for us to learn about what to expect and how to react to such incidents."
"self","s437","6",23,"It matters to me personally because I like to be educated about the right way to address issues that others may be experiencing."
"self","s437","7",36,"This article matters to me personally because I am a believer in climate change, and I also believe that I have an obligation to combat misinformation with facts when there is an opportunity to do so."
"self","s437","8",13,"It matters to me personally because walking is my main mode of transportation."
"self","s438","10",26,"It doesn't and it was probably because the kids just wanted to get out of school for a bit as if they haven't already had enough."
"self","s438","11",9,"It doesn't because I don't need to lose weight"
"self","s438","12",5,"I smoke and that's true"
"self","s438","9",17,"Because you sweat and I don't need to lose weight so this article doesn't matter to me."
"self","s439","5",NA,NA
"self","s439","6",NA,NA
"self","s439","7",NA,NA
"self","s439","8",NA,NA
"self","s440","5",10,"This could help improve my health in a easier way."
"self","s440","6",20,"It discuss why being obese isn't good for your health and is a good reason for me to stay healthy."
"self","s440","7",15,"This could possibly impact my cost of living and where I live and move to."
"self","s440","8",17,"It shows that my generation is working towards fixing the world from climate change and global warming."
"self","s441","1",15,"I was diagnosed with high cholesterol by my doctor so am interested in the subject."
"self","s441","2",16,"My daughter is a fitness buff so I would send this to her for her information."
"self","s441","3",11,"My daughter is currently pregnant and would find this article interesting."
"self","s441","4",9,"I am against the continued use of fossil fuels."
"self","s442","5",NA,NA
"self","s442","6",NA,NA
"self","s442","7",NA,NA
"self","s442","8",NA,NA
"self","s443","1",NA,NA
"self","s443","2",NA,NA
"self","s443","3",NA,NA
"self","s443","4",NA,NA
"self","s444","1",21,"its will make more people aware about climate change and hopefully make them change to help prevent it in the future"
"self","s444","2",23,"it tells you that using cbd may not be safe and no one knows the side effects it causes in the long run"
"self","s444","3",18,"to help friends who suffer from this to lose weight to help them live a longer healthier life"
"self","s444","4",17,"it is good to monitor your heart so you can detect early problems that might be occuring"
"self","s445","1",27,"I am a huge fan of exercise, health and wellness. If I could find an exercise that would build strength in 13 min that would be amazing."
"self","s445","2",22,"Diet culture is something that is extremely detrimental to people and their livelihood. Its about a lifestyle change more than a fad."
"self","s445","3",22,"Pollution is a serious threat to humanity and the environment. It is imperative that we do something now before its too late."
"self","s445","4",24,"Natural sources of calories and nutrition are so much more important than processed items. I think it is important for people to understand this."
"self","s446","1",NA,NA
"self","s446","2",NA,NA
"self","s446","3",NA,NA
"self","s446","4",NA,NA
"self","s447","5",NA,NA
"self","s447","6",NA,NA
"self","s447","7",NA,NA
"self","s447","8",NA,NA
"self","s448","5",NA,NA
"self","s448","6",NA,NA
"self","s448","7",NA,NA
"self","s448","8",NA,NA
"self","s449","10",NA,NA
"self","s449","11",NA,NA
"self","s449","12",NA,NA
"self","s449","9",NA,NA
"self","s450","10",18,"Honestly, I don't know if it does. I can't come up with any way now that it would."
"self","s450","11",15,"This article matters to me only in that I'm not sure it contains reliable information."
"self","s450","12",13,"(apparently I need to write at least 20 characters) I hate hot weather."
"self","s450","9",18,"If I ever decide to buy a car I would consider one that doesn't run on fossil fuels."
"self","s451","5",NA,NA
"self","s451","6",NA,NA
"self","s451","7",NA,NA
"self","s451","8",NA,NA
"self","s452","5",20,"It lets me see what is happening in the climate change fight and how others can help make changes happen."
"self","s452","6",27,"My mom passed away from multiple myeloma so it's relevant to me and matters to me personally because I know what someone goes through who has it."
"self","s452","7",15,"It might give me ideas to help those I know who have a weight issue."
"self","s452","8",21,"My uncle had kidney stones, so if it runs in my family, I would like to know how to prevent them."
"self","s453","1",NA,NA
"self","s453","2",NA,NA
"self","s453","3",NA,NA
"self","s453","4",NA,NA
"self","s454","5",NA,NA
"self","s454","6",NA,NA
"self","s454","7",NA,NA
"self","s454","8",NA,NA
"self","s455","10",NA,NA
"self","s455","11",NA,NA
"self","s455","12",NA,NA
"self","s455","9",NA,NA
"self","s456","1",NA,NA
"self","s456","2",NA,NA
"self","s456","3",NA,NA
"self","s456","4",NA,NA
"self","s457","10",NA,NA
"self","s457","11",NA,NA
"self","s457","12",NA,NA
"self","s457","9",NA,NA
"self","s458","1",NA,NA
"self","s458","2",NA,NA
"self","s458","3",NA,NA
"self","s458","4",NA,NA
"self","s459","10",NA,NA
"self","s459","11",NA,NA
"self","s459","12",NA,NA
"self","s459","9",NA,NA
"social","s001","5",NA,NA
"social","s001","6",NA,NA
"social","s001","7",NA,NA
"social","s001","8",NA,NA
"social","s002","1",35,"This article matters to people I know because it's important to be informed on climate change and vote to make a difference. My generation will be affected by climate change so this impacts my friends."
"social","s002","2",45,"This matters to people I know because several people in my generation have started experiencing the impact of unclean air. We have chronic illnesses, unexplained infertility, etc. Making these easy swaps can really improve your health and I have several friends on a fertility journey."
"social","s002","3",15,"This article matters to at least one of my relatives since they experience sleep apnea."
"social","s002","4",39,"This article matters to people I know because I am actually celiac so several of my friends have pivoted off of that and gone gluten-free themselves. It would be a big deal if that was causing them harm."
"social","s003","5",NA,NA
"social","s003","6",NA,NA
"social","s003","7",NA,NA
"social","s003","8",NA,NA
"social","s004","10",NA,NA
"social","s004","11",NA,NA
"social","s004","12",NA,NA
"social","s004","9",NA,NA
"social","s005","5",NA,NA
"social","s005","6",NA,NA
"social","s005","7",NA,NA
"social","s005","8",NA,NA
"social","s006","5",NA,NA
"social","s006","6",NA,NA
"social","s006","7",NA,NA
"social","s006","8",NA,NA
"social","s007","5",NA,NA
"social","s007","6",NA,NA
"social","s007","7",NA,NA
"social","s007","8",NA,NA
"social","s008","10",12,"My nephews use muscle building supplements so this would matter to them."
"social","s008","11",14,"My sisters are always watching their weight so this could be important to them."
"social","s008","12",14,"Everyone is affected by carbon emissions so it is relative to people I know."
"social","s008","9",14,"My sisters both exercise, so it would be interesting for them to know this."
"social","s009","10",21,"This article matters to people we know because they may want to visit those cultural heritage sites that are being effected."
"social","s009","11",13,"This matters to people I know because they are SUV drivers and enthusiasts."
"social","s009","12",24,"This article matters to people I know because they have had cardiovascular problems in the past and the protein in plants could be beneficial."
"social","s009","9",25,"The article matters to people I know because I have relatives that have had heart problems in the past and it's a very serious issue."
"social","s010","10",NA,NA
"social","s010","11",NA,NA
"social","s010","12",NA,NA
"social","s010","9",NA,NA
"social","s011","5",18,"Check this out and encourage your friends to join in the global strike! it could change SO much!"
"social","s011","6",14,"My brother-in-law suffers from epilepsy and CBD oil has helped him tremendously!"
"social","s011","7",24,"family members are overweight and do not seem to care about what they put into their bodies! This is striking and should be considered!"
"social","s011","8",17,"Wildlife dying not only affect ocean life, but it has a direct impact on all of us!"
"social","s012","10",NA,NA
"social","s012","11",NA,NA
"social","s012","12",NA,NA
"social","s012","9",NA,NA
"social","s013","10",NA,NA
"social","s013","11",NA,NA
"social","s013","12",NA,NA
"social","s013","9",NA,NA
"social","s014","10",NA,NA
"social","s014","11",NA,NA
"social","s014","12",NA,NA
"social","s014","9",NA,NA
"social","s015","10",11,"It will affect the environment and the people I know eventually"
"social","s015","11",12,"People I know might want to know the effects of skipping meals."
"social","s015","12",11,"Because the climate problems are getting worse and will affect us."
"social","s015","9",12,"People I know might want to know about trump missing a deadline"
"social","s016","10",NA,NA
"social","s016","11",NA,NA
"social","s016","12",NA,NA
"social","s016","9",NA,NA
"social","s017","5",NA,NA
"social","s017","6",NA,NA
"social","s017","7",NA,NA
"social","s017","8",NA,NA
"social","s018","1",NA,NA
"social","s018","2",NA,NA
